state;prison_expenditure_2009;prison_expenditure_2010;prison_expenditure_2011;prison_expenditure_2012;prison_expenditure_2013;prison_expenditure_2014;prison_expenditure_2015;prison_expenditure_2016
Alabama;711538;734776;723829;711823;698906;713432;742594;722269
Alaska;259242;266516;287214;316239;339966;342152;346872;338005
Arizona;1628111;1494873;1466189;1544480;1644788;1651930;1708409;1684710
Arkansas;391630;457302;543865;558134;555466;566911;587690;595731
California;13654514;12622884;13630307;13691104;13054893;14343228;15275175;15468283
Colorado;1072582;1127710;1215364;1243601;1186992;1252486;1316240;1313103
Connecticut;720634;664082;687886;684889;658973;694262;699051;684159
Delaware;271423;259802;266666;282052;282015;294075;302261;308341
District of Columbia;243880;252872;256760;240658;250999;145254;142372;144915
Florida;4322367;4301510;4327447;4065514;3917389;4014608;4125808;4248590
Georgia;2067020;2081906;2275864;2330927;2280274;2221182;2278830;1919567
Hawaii;220864;201871;191030;198207;200984;216708;217301;217459
Idaho;303456;286190;290077;306894;315989;321405;340056;342718
Illinois;1930288;1941134;2212636;2062068;2018277;2106787;2254133;1852278
Indiana;1027410;974158;1001179;958650;996562;1032574;1020450;1158724
Iowa;410347;393027;468419;522885;477867;447878;443845;444268
Kansas;484471;480581;502965;480257;516076;500368;513474;515615
Kentucky;698217;706123;736460;738949;750773;774821;797319;903548
Louisiana;1211424;1162940;1317824;1329243;1337378;1216799;1138255;1138415
Maine;197530;202133;196598;193735;189548;198630;210657;264125
Maryland;1746089;1692125;1719814;1749707;1768226;1791082;1864705;1899302
Massachusetts;1333154;1174614;1051338;1056190;1095858;1137031;1102746;1119463
Michigan;2360024;2239695;2245187;2245657;2511279;2525434;2496266;2521274
Minnesota;844621;840282;870853;863920;876338;902529;939218;1012828
Mississippi;491676;504459;550229;558273;524341;505137;497701;497880
Missouri;868726;877456;861737;862170;883435;966789;953774;960445
Montana;212960;221766;240862;237556;240476;243765;268128;257564
Nebraska;334852;346821;365920;361679;364200;402579;471788;499504
Nevada;710178;640251;686732;704917;688780;693289;678562;711775
New Hampshire;161440;177071;183858;182525;183767;171032;183201;198456
New Jersey;2052642;2125289;2071530;2074942;2104216;2083605;2058426;2043128
New Mexico;557946;610504;624393;600489;618393;646296;668580;696223
New York;5406765;5643949;5873115;5771741;6346473;6173992;6202204;6523806
North Carolina;1645630;1695219;2016730;1892107;1733382;1737536;1760362;1823340
North Dakota;86848;93964;116353;139825;132105;127885;138682;175123
Ohio;1979593;1811961;1911436;1819327;1839580;1859739;1971480;2006589
Oklahoma;694353;678797;651506;680777;724718;751657;746089;752145
Oregon;1014665;1047478;1050098;1070641;1062420;1128502;1129757;1216267
Pennsylvania;2998059;3104936;3236484;3303388;3433015;3298663;3416695;3508983
Rhode Island;195863;189369;197097;199280;203558;206792;211174;222123
South Carolina;667305;653755;672033;675710;717109;736899;767022;755469
South Dakota;152237;151036;159899;164693;163355;173122;177321;179646
Tennessee;950231;1002156;1018197;1048733;1067268;1164327;1161777;1175629
Texas;5325084;5479718;5832698;5482193;5558371;5696663;5831665;5921225
Utah;514188;489046;497248;517998;514990;539588;528622;526556
Vermont;118794;124013;126422;125873;135285;137879;143436;137103
Virginia;1890608;1788006;2147621;2183660;2260559;2410245;2472309;2560724
Washington;1565760;1562926;1595452;1559392;1547070;1604255;1677560;1727579
West Virginia;286164;305997;324374;333775;347886;353736;339575;352992
Wisconsin;1465257;1464169;1543626;1545438;1475862;1507528;1524182;1554197
Wyoming;183721;196259;201929;215414;213000;210034;213887;214564
